Name,Type,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Average
Bubble Sort,sorted50,0.000121,8.6e-05,8.6e-05,8.5e-05,8.5e-05,8.6e-05,8.6e-05,8.5e-05,8.5e-05,8.5e-05
Bubble Sort,sorted100,0.000368,0.000322,0.000323,0.000323,0.000321,0.00042,0.000323,0.00032,0.000321,0.000379
Bubble Sort,sorted1000,0.038367,0.037554,0.037702,0.038105,0.038313,0.037615,0.037752,0.037866,0.038127,0.037674
Bubble Sort,sorted10000,4.103337,4.113751,4.112341,4.123132,4.156207,4.187012,4.318604,4.490723,4.383819,4.275179
Bubble Sort,random50,0.000146,0.000143,0.00014,0.000138,0.00015,0.000149,0.000148,0.000221,0.000175,0.000135
Bubble Sort,random100,0.00056,0.000744,0.000612,0.000723,0.000716,0.000705,0.000523,0.000517,0.000583,0.000528
Bubble Sort,random1000,0.066493,0.065663,0.065689,0.064714,0.066806,0.066638,0.067604,0.066206,0.066735,0.065642
Bubble Sort,random10000,7.086143,7.086247,7.050422,7.055145,7.101691,7.080539,7.085273,7.075913,7.10336,7.082355
Bubble Sort,unsort50,8.3e-05,0.000122,8.3e-05,8.7e-05,8.6e-05,8.2e-05,8.1e-05,8.3e-05,8.4e-05,8.3e-05
Bubble Sort,unsort100,0.000319,0.000315,0.000436,0.000453,0.000338,0.000324,0.000329,0.000338,0.000342,0.000335
Bubble Sort,unsort1000,0.038909,0.039568,0.039035,0.039611,0.039098,0.038286,0.03878,0.039365,0.039176,0.038741
Bubble Sort,unsort10000,4.275716,4.306607,4.310553,4.340676,4.326232,4.311917,4.309898,4.289518,4.294709,4.294449
Bubble Sort,unique50,0.00014,0.00014,0.000138,0.000139,0.000136,0.000174,0.000292,0.000143,0.000208,0.000135
Bubble Sort,unique100,0.000744,0.000526,0.000504,0.000531,0.000484,0.000532,0.00051,0.000618,0.000589,0.000512
Bubble Sort,unique1000,0.064013,0.064039,0.062705,0.06207,0.062692,0.063971,0.062499,0.061622,0.063529,0.063486
Bubble Sort,unique10000,6.753047,6.722327,6.712135,6.683225,6.674076,6.676087,6.713707,6.695302,6.66159,6.730813
Bubble Sort,reversed50,0.000221,0.000246,0.000179,0.000179,0.000179,0.00018,0.000179,0.000179,0.00018,0.000178
Bubble Sort,reversed100,0.000822,0.00087,0.000798,0.000739,0.00074,0.000741,0.000742,0.000842,0.000742,0.000742
Bubble Sort,reversed1000,0.089884,0.089227,0.089757,0.089772,0.091253,0.090351,0.089661,0.090273,0.089773,0.088765
Bubble Sort,reversed10000,9.667298,9.68527,9.705124,9.776544,9.720122,9.72887,9.715586,9.739652,9.682558,9.680713
Selection Sort,sorted50,7.8e-05,9.8e-05,7.6e-05,0.000135,9.1e-05,7.4e-05,7.4e-05,7.3e-05,7.4e-05,7.3e-05
Selection Sort,sorted100,0.000266,0.00042,0.000269,0.000272,0.000269,0.000265,0.000268,0.000267,0.000267,0.000326
Selection Sort,sorted1000,0.0309,0.030817,0.03091,0.030773,0.031198,0.031081,0.030785,0.030845,0.030674,0.030646
Selection Sort,sorted10000,3.082488,3.082047,3.086233,3.085662,3.105188,3.107488,3.111975,3.108859,3.119362,3.112946
Selection Sort,random50,7.9e-05,7.8e-05,7.6e-05,7.5e-05,7.6e-05,7.6e-05,7.6e-05,7.5e-05,7.6e-05,7.5e-05
Selection Sort,random100,0.000271,0.000271,0.00027,0.000377,0.000345,0.000274,0.000335,0.000272,0.000533,0.000287
Selection Sort,random1000,0.030831,0.031173,0.031113,0.031456,0.031125,0.0312,0.031719,0.030963,0.031322,0.031349
Selection Sort,random10000,3.102613,3.105698,3.101977,3.108635,3.10714,3.105054,3.10575,3.102978,3.101304,3.103561
Selection Sort,unsort50,7.5e-05,7.4e-05,0.0001,7.4e-05,7.4e-05,7.3e-05,7.3e-05,7.4e-05,0.000155,7.3e-05
Selection Sort,unsort100,0.000271,0.000273,0.000267,0.000266,0.000267,0.000267,0.000267,0.000267,0.000267,0.000337
Selection Sort,unsort1000,0.03085,0.031365,0.030792,0.030791,0.03096,0.031432,0.030904,0.030917,0.031032,0.031156
Selection Sort,unsort10000,3.100056,3.107671,3.102152,3.111475,3.100853,3.104864,3.107199,3.119102,3.114489,3.109872
Selection Sort,unique50,7.5e-05,7.4e-05,7.4e-05,7.3e-05,7.3e-05,7.3e-05,7.3e-05,7.3e-05,7.4e-05,7.3e-05
Selection Sort,unique100,0.000267,0.000266,0.000266,0.000266,0.000266,0.000267,0.000319,0.000267,0.00039,0.000267
Selection Sort,unique1000,0.030751,0.030975,0.030465,0.030801,0.030891,0.030577,0.030728,0.030938,0.030964,0.030786
Selection Sort,unique10000,3.084925,3.092845,3.091083,3.084466,3.090223,3.091586,3.090426,3.087562,3.082013,3.092963
Selection Sort,reversed50,9.4e-05,0.000128,7.3e-05,7.4e-05,7.3e-05,7.4e-05,7.3e-05,7.3e-05,7.3e-05,7.3e-05
Selection Sort,reversed100,0.000348,0.000288,0.000384,0.000274,0.000271,0.000268,0.000269,0.000267,0.000266,0.000268
Selection Sort,reversed1000,0.030813,0.030963,0.030866,0.031176,0.031088,0.031491,0.031189,0.031114,0.030903,0.03093
Selection Sort,reversed10000,3.099312,3.099527,3.10954,3.106824,3.103664,3.109694,3.105194,3.109623,3.113135,3.108107
Insertion Sort,sorted50,8e-06,8e-06,7e-06,7e-06,8e-06,8e-06,7e-06,7e-06,7e-06,7e-06
Insertion Sort,sorted100,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05
Insertion Sort,sorted1000,0.000145,0.000144,0.000143,0.000144,0.000144,0.000143,0.000144,0.000144,0.000143,0.000143
Insertion Sort,sorted10000,0.001672,0.0017,0.001745,0.001993,0.00163,0.001526,0.001606,0.001481,0.001533,0.001612
Insertion Sort,random50,1.1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Insertion Sort,random100,1.9e-05,1.9e-05,1.9e-05,1.9e-05,1.8e-05,1.8e-05,1.7e-05,1.8e-05,1.9e-05,1.8e-05
Insertion Sort,random1000,0.000172,0.000166,0.00016,0.000226,0.000154,0.00015,0.00021,0.000212,0.000151,0.000148
Insertion Sort,random10000,0.001682,0.001807,0.001597,0.001579,0.001716,0.001497,0.001554,0.001632,0.001554,0.001618
Insertion Sort,unsort50,7e-06,7e-06,7e-06,7e-06,7e-06,7e-06,7e-06,7e-06,8e-06,7e-06
Insertion Sort,unsort100,1.4e-05,1.4e-05,1.3e-05,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.4e-05,2.9e-05,1.4e-05
Insertion Sort,unsort1000,0.00019,0.000203,0.000269,0.00024,0.00021,0.000144,0.000205,0.000144,0.000143,0.000144
Insertion Sort,unsort10000,0.001791,0.001516,0.001751,0.001686,0.001548,0.001619,0.001541,0.001484,0.001858,0.001625
Insertion Sort,unique50,8e-06,7e-06,8e-06,7e-06,7e-06,8e-06,7e-06,7e-06,8e-06,7e-06
